accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.8772500157356262,0.9428519010543823,0.3049672245979309,0.8505367636680603,0.8396563529968262,0.8898000121116638,0.9714746475219727,0.2591794729232788,0.9621046185493469,0.7579570412635803
0.916575014591217,0.9698852300643921,0.21603772044181824,0.90625,0.8819840550422668,0.8547999858856201,0.9735854864120483,0.31759747862815857,0.9800664186477661,0.6550703048706055
0.9312750101089478,0.978737473487854,0.17963548004627228,0.9248647689819336,0.9007964134216309,0.9034000039100647,0.9782872200012207,0.23300515115261078,0.9704358577728271,0.7855909466743469
0.9409499764442444,0.984610915184021,0.15072141587734222,0.9334439635276794,0.9172885417938232,0.934499979019165,0.9825271368026733,0.16918505728244781,0.952583909034729,0.8823093771934509
0.9525499939918518,0.9890706539154053,0.12584881484508514,0.9474489092826843,0.9327146410942078,0.9430999755859375,0.9854232668876648,0.1503661423921585,0.9269607663154602,0.9331359267234802
0.9605000019073486,0.9925300478935242,0.10366364568471909,0.9569365978240967,0.9433749318122864,0.9325000047683716,0.9805806875228882,0.18202559649944305,0.9362086653709412,0.8943992257118225
0.9666249752044678,0.9945220351219177,0.08807790279388428,0.9628151655197144,0.9530946016311646,0.916100025177002,0.9702152609825134,0.31315621733665466,0.970433235168457,0.8179126381874084
0.9710249900817871,0.995903730392456,0.07480521500110626,0.967797040939331,0.9592399597167969,0.9132999777793884,0.9747877717018127,0.2961549460887909,0.8451039791107178,0.9624969363212585
0.9766499996185303,0.9971643686294556,0.0619712769985199,0.9744642972946167,0.9667649269104004,0.9373999834060669,0.978306233882904,0.20949675142765045,0.9444876909255981,0.8983469009399414
0.9798750281333923,0.9976725578308105,0.05390182510018349,0.9765831828117371,0.972847580909729,0.9320999979972839,0.9795592427253723,0.21803294122219086,0.8950819969177246,0.9430052042007446
